Customer_ID,Age,Gender,Tenure,Contract_Type,Payment_Method,Internet_Service,Tech_Support,Streaming_Service,Online_Security,Customer_Support_Calls,Satisfaction_Score,Monthly_Charges,Total_Charges,Churn_Probability,Risk_Score,Risk_Category,Churn
CUST-01433,54,Female,46,Month-to-Month,Mailed Check,DSL,No Internet,No,No,1,3.2,49.75,2228.86,0.3769,37.7,Low,No
CUST-01434,33,Male,6,Month-to-Month,Electronic Check,DSL,No Internet,No Internet,Yes,4,5.0,65.49,464.21,0.5143,51.4,Medium,No
CUST-01435,39,Male,45,One Year,Bank Transfer,Fiber Optic,Yes,Yes,No,4,2.8,88.53,4263.16,0.302,30.2,Low,No
CUST-01436,45,Female,3,Month-to-Month,Electronic Check,Fiber Optic,Yes,Yes,No,7,1.2,69.96,260.0,0.8871,88.7,High,Yes
CUST-01437,38,Male,20,Month-to-Month,Electronic Check,DSL,No,No Internet,No,5,4.3,66.38,1456.13,0.7442,74.4,High,Yes
CUST-01438,64,Male,52,Month-to-Month,Electronic Check,No,No Internet,No Internet,No,3,2.0,26.85,1445.28,0.6538,65.4,Medium,Yes
CUST-01439,48,Male,15,Month-to-Month,Bank Transfer,Fiber Optic,No,Yes,No Internet,1,1.6,85.13,1249.3,0.8388,83.9,High,Yes
CUST-01440,52,Male,32,Month-to-Month,Mailed Check,Fiber Optic,No,No,No Internet,4,4.9,88.66,2981.89,0.7845,78.5,High,Yes
CUST-01441,51,Female,39,Month-to-Month,Bank Transfer,DSL,Yes,No,Yes,4,4.0,54.63,2000.2,0.4315,43.2,Medium,No
CUST-01442,58,Female,32,Two Year,Credit Card,No,Yes,Yes,No,3,2.8,18.0,537.25,0.1946,19.5,Low,No
CUST-01443,44,Female,62,Month-to-Month,Bank Transfer,No,No,Yes,No,6,4.5,18.0,1150.66,0.5282,52.8,Medium,No
CUST-01444,23,Male,14,One Year,Mailed Check,DSL,Yes,Yes,Yes,4,4.3,65.23,1011.96,0.2048,20.5,Low,No
CUST-01445,47,Female,4,Two Year,Credit Card,No,Yes,No,No,5,2.4,25.55,122.65,0.2627,26.3,Low,No
CUST-01446,32,Male,1,Month-to-Month,Mailed Check,Fiber Optic,Yes,Yes,No Internet,3,3.4,81.61,147.49,0.7186,71.9,High,Yes
CUST-01447,34,Male,6,Two Year,Electronic Check,Fiber Optic,No,Yes,No,3,3.1,79.09,547.89,0.6529,65.3,Medium,Yes
CUST-01448,50,Male,3,Month-to-Month,Credit Card,DSL,Yes,No Internet,No,5,2.5,57.38,214.6,0.5455,54.5,Medium,No
CUST-01449,59,Male,19,Month-to-Month,Electronic Check,No,No,Yes,No,1,3.2,18.0,353.36,0.6909,69.1,Medium,Yes
CUST-01450,42,Male,4,Month-to-Month,Mailed Check,DSL,No Internet,No,No,2,4.0,68.97,326.81,0.4946,49.5,Medium,No
CUST-01451,46,Male,0,Month-to-Month,Electronic Check,No,Yes,No Internet,No Internet,2,2.2,36.42,36.18,0.5898,59.0,Medium,No
CUST-01452,65,Female,0,Month-to-Month,Mailed Check,No,No,Yes,No Internet,2,4.1,18.0,16.9,0.5433,54.3,Medium,No
CUST-01453,45,Male,42,Month-to-Month,Mailed Check,DSL,No Internet,Yes,Yes,3,1.2,59.64,2365.17,0.5303,53.0,Medium,No
CUST-01454,78,Male,21,One Year,Electronic Check,Fiber Optic,No,No,Yes,1,3.4,61.58,1372.18,0.5813,58.1,Medium,No
CUST-01455,49,Male,10,Two Year,Mailed Check,Fiber Optic,Yes,No,No,3,2.4,106.76,1151.84,0.3463,34.6,Low,No
CUST-01456,18,Female,53,Month-to-Month,Bank Transfer,DSL,Yes,No,No,4,4.9,64.7,3310.76,0.4496,45.0,Medium,No
CUST-01457,52,Male,1,Month-to-Month,Electronic Check,Fiber Optic,No,No,No,5,1.4,83.71,166.45,0.8496,85.0,High,Yes
CUST-01458,47,Female,72,Month-to-Month,Mailed Check,Fiber Optic,No,No Internet,Yes,3,2.9,101.92,7016.68,0.785,78.5,High,Yes
CUST-01459,60,Female,22,Month-to-Month,Electronic Check,No,Yes,Yes,No Internet,1,2.3,25.8,566.58,0.6199,62.0,Medium,No
CUST-01460,51,Male,4,One Year,Credit Card,No,No Internet,No,No,3,2.6,25.47,121.79,0.1096,11.0,Low,No
CUST-01461,40,Male,27,Month-to-Month,Bank Transfer,Fiber Optic,No,Yes,No,1,1.9,78.97,2065.16,0.7884,78.8,High,Yes
CUST-01462,24,Male,34,Month-to-Month,Credit Card,DSL,Yes,Yes,No,2,3.4,71.18,2406.92,0.3631,36.3,Low,No
CUST-01463,39,Female,13,One Year,Electronic Check,Fiber Optic,No,Yes,Yes,1,3.4,89.78,1284.93,0.5364,53.6,Medium,No
CUST-01464,30,Male,47,Two Year,Electronic Check,Fiber Optic,Yes,No,Yes,3,1.3,106.15,5327.77,0.5459,54.6,Medium,No
CUST-01465,33,Male,3,Month-to-Month,Electronic Check,DSL,No,No Internet,No,3,3.9,70.94,264.72,0.7758,77.6,High,Yes
CUST-01466,50,Male,7,One Year,Electronic Check,DSL,Yes,Yes,No,2,1.5,68.97,574.29,0.3764,37.6,Low,No
CUST-01467,65,Female,2,Month-to-Month,Mailed Check,Fiber Optic,No,Yes,No,4,3.2,97.07,274.23,0.8118,81.2,High,Yes
CUST-01468,47,Male,5,Month-to-Month,Credit Card,Fiber Optic,Yes,Yes,No,3,5.0,91.97,535.53,0.69,69.0,Medium,Yes
CUST-01469,25,Male,6,Month-to-Month,Mailed Check,Fiber Optic,No,Yes,Yes,3,2.3,90.23,577.98,0.8343,83.4,High,Yes
CUST-01470,48,Female,59,Month-to-Month,Credit Card,No,Yes,No,No,1,2.9,21.41,1273.3,0.349,34.9,Low,No
CUST-01471,58,Female,1,Two Year,Electronic Check,DSL,No,No,No,6,2.3,62.02,121.14,0.5501,55.0,Medium,No
CUST-01472,33,Female,13,Month-to-Month,Credit Card,Fiber Optic,Yes,No Internet,No,1,2.5,93.95,1317.72,0.6658,66.6,Medium,Yes
CUST-01473,40,Male,18,Month-to-Month,Electronic Check,Fiber Optic,Yes,No,No,3,3.5,74.41,1399.74,0.7498,75.0,High,Yes
CUST-01474,42,Female,54,Month-to-Month,Credit Card,DSL,Yes,No,Yes,1,5.0,52.16,3004.24,0.2623,26.2,Low,No
CUST-01475,31,Female,72,Month-to-Month,Electronic Check,DSL,Yes,Yes,Yes,1,3.2,59.3,4396.09,0.4599,46.0,Medium,No
CUST-01476,51,Male,33,One Year,Credit Card,No,No,No,No,2,4.5,20.28,720.43,0.132,13.2,Low,No
CUST-01477,40,Female,72,Month-to-Month,Electronic Check,Fiber Optic,No Internet,No,No,2,2.4,92.18,6586.66,0.7912,79.1,High,Yes
CUST-01478,47,Male,37,Month-to-Month,Electronic Check,No,No,No Internet,No,1,4.4,30.83,1103.84,0.6334,63.3,Medium,Yes
CUST-01479,29,Female,72,One Year,Mailed Check,Fiber Optic,No Internet,No Internet,No,4,5.0,97.29,6958.67,0.2476,24.8,Low,No
CUST-01480,35,Male,29,Month-to-Month,Mailed Check,Fiber Optic,Yes,No Internet,Yes,1,4.5,98.46,2865.22,0.5821,58.2,Medium,No
CUST-01481,52,Female,1,Month-to-Month,Bank Transfer,Fiber Optic,Yes,Yes,No,5,4.0,112.48,216.88,0.7348,73.5,High,Yes
CUST-01482,36,Male,12,Month-to-Month,Credit Card,DSL,No,Yes,No,1,3.9,33.34,416.15,0.5465,54.6,Medium,No
CUST-01483,66,Female,24,Month-to-Month,Bank Transfer,No,No Internet,No Internet,No,2,2.4,18.53,473.3,0.4872,48.7,Medium,No
CUST-01484,36,Male,10,Month-to-Month,Bank Transfer,DSL,No,No,No Internet,4,1.6,70.52,784.38,0.5168,51.7,Medium,No
CUST-01485,45,Female,7,Month-to-Month,Electronic Check,DSL,No,No,Yes,2,3.9,48.48,386.51,0.7191,71.9,High,Yes
CUST-01486,55,Female,20,One Year,Bank Transfer,Fiber Optic,Yes,Yes,No Internet,5,2.3,118.31,2476.44,0.3774,37.7,Low,No
CUST-01487,22,Male,65,One Year,Mailed Check,Fiber Optic,Yes,No Internet,No,1,2.4,80.19,5060.13,0.2736,27.4,Low,No
CUST-01488,18,Female,0,One Year,Credit Card,DSL,No,No,No,1,1.6,63.27,61.1,0.3111,31.1,Low,No
CUST-01489,20,Female,35,Two Year,Mailed Check,DSL,No,No,No Internet,3,2.6,57.57,1912.69,0.2516,25.2,Low,No
CUST-01490,59,Male,30,Month-to-Month,Bank Transfer,DSL,Yes,No Internet,No,1,4.4,55.54,1699.1,0.3072,30.7,Low,No
CUST-01491,34,Male,72,Two Year,Electronic Check,Fiber Optic,No Internet,No,Yes,2,4.3,88.62,5958.38,0.4866,48.7,Medium,No
CUST-01492,77,Female,64,Month-to-Month,Electronic Check,Fiber Optic,No Internet,No,No,2,1.7,91.9,6196.3,0.775,77.5,High,Yes
CUST-01493,34,Male,34,Month-to-Month,Mailed Check,Fiber Optic,No Internet,No,No,1,2.1,70.56,2376.62,0.6665,66.6,Medium,Yes
CUST-01494,44,Male,17,Month-to-Month,Electronic Check,No,No Internet,No,No,3,1.2,18.0,293.67,0.6916,69.2,Medium,Yes
CUST-01495,63,Male,5,Month-to-Month,Electronic Check,DSL,Yes,Yes,No,3,3.6,59.47,321.23,0.5611,56.1,Medium,No
CUST-01496,70,Male,18,Two Year,Electronic Check,Fiber Optic,No Internet,No,No,2,3.4,78.45,1492.7,0.4842,48.4,Medium,No
CUST-01497,70,Male,34,Month-to-Month,Credit Card,Fiber Optic,No,No,Yes,1,3.5,98.78,3428.71,0.6764,67.6,Medium,Yes
CUST-01498,58,Male,54,Month-to-Month,Electronic Check,Fiber Optic,No Internet,No,No,0,2.7,61.08,3411.61,0.7775,77.7,High,Yes
CUST-01499,56,Female,37,Month-to-Month,Credit Card,DSL,Yes,No Internet,Yes,1,3.9,64.5,2481.4,0.4271,42.7,Medium,No
CUST-01500,50,Female,5,Month-to-Month,Electronic Check,No,No,Yes,No,2,2.9,21.5,116.16,0.828,82.8,High,Yes
CUST-01501,52,Male,21,Month-to-Month,Electronic Check,No,Yes,No Internet,No,4,4.3,26.82,545.82,0.7084,70.8,High,Yes
CUST-01502,34,Female,9,Month-to-Month,Mailed Check,DSL,Yes,No,No,4,2.0,32.65,309.81,0.4714,47.1,Medium,No
CUST-01503,30,Female,0,Month-to-Month,Mailed Check,Fiber Optic,No Internet,No,No,3,4.2,96.06,87.34,0.7954,79.5,High,Yes
CUST-01504,41,Female,5,Two Year,Mailed Check,DSL,No Internet,Yes,Yes,2,3.7,68.17,379.05,0.1067,10.7,Low,No
CUST-01505,39,Male,2,Month-to-Month,Bank Transfer,DSL,No,Yes,No Internet,1,3.9,42.74,126.58,0.4561,45.6,Medium,No
CUST-01506,35,Male,44,Month-to-Month,Electronic Check,Fiber Optic,No,No,No,2,2.8,83.17,3624.97,0.8587,85.9,High,Yes
CUST-01507,51,Female,7,One Year,Bank Transfer,No,No,Yes,No,2,5.0,44.69,367.92,0.157,15.7,Low,No
CUST-01508,55,Female,8,Two Year,Mailed Check,No,No,No Internet,No Internet,3,2.4,31.96,268.54,0.2075,20.8,Low,No
CUST-01509,43,Female,72,Month-to-Month,Electronic Check,DSL,No,Yes,No Internet,1,5.0,28.48,2038.08,0.5764,57.6,Medium,No
CUST-01510,62,Female,11,Month-to-Month,Credit Card,DSL,No,No Internet,Yes,2,3.7,48.2,595.32,0.588,58.8,Medium,No
CUST-01511,26,Male,0,Two Year,Bank Transfer,DSL,No,No,No,3,4.5,65.96,59.96,0.1994,19.9,Low,No
CUST-01512,39,Female,8,Month-to-Month,Mailed Check,DSL,No Internet,No,No,4,4.8,49.66,460.58,0.3935,39.4,Low,No
CUST-01513,31,Male,3,Month-to-Month,Credit Card,Fiber Optic,No,Yes,Yes,3,4.1,75.46,287.23,0.6915,69.2,Medium,Yes
CUST-01514,18,Male,2,Month-to-Month,Credit Card,Fiber Optic,No,Yes,Yes,1,5.0,82.49,254.63,0.671,67.1,Medium,Yes
CUST-01515,40,Female,1,Two Year,Mailed Check,Fiber Optic,No Internet,Yes,No,3,4.2,66.03,132.36,0.3037,30.4,Low,No
CUST-01516,40,Male,21,Two Year,Electronic Check,DSL,No Internet,No,No,1,4.0,51.53,1134.7,0.2402,24.0,Low,No
CUST-01517,63,Male,5,Two Year,Credit Card,DSL,No Internet,No,No Internet,6,3.7,64.72,352.28,0.1989,19.9,Low,No
CUST-01518,50,Female,10,Month-to-Month,Electronic Check,DSL,No,No,Yes,4,3.6,43.67,500.15,0.738,73.8,High,Yes
CUST-01519,27,Male,47,Month-to-Month,Electronic Check,DSL,No,No Internet,No Internet,3,4.4,37.68,1744.73,0.7036,70.4,High,Yes
CUST-01520,67,Female,13,Month-to-Month,Electronic Check,Fiber Optic,Yes,No,No Internet,1,2.3,69.15,887.03,0.8229,82.3,High,Yes
CUST-01521,59,Female,59,Two Year,Bank Transfer,DSL,Yes,Yes,No,1,3.0,62.74,3820.95,0.1423,14.2,Low,No
CUST-01522,50,Female,16,Two Year,Credit Card,DSL,No,Yes,Yes,2,3.8,48.75,853.63,0.1513,15.1,Low,No
CUST-01523,38,Male,12,Month-to-Month,Bank Transfer,Fiber Optic,Yes,No Internet,No,1,2.4,75.18,1015.87,0.7306,73.1,High,Yes
CUST-01524,28,Male,33,One Year,Credit Card,Fiber Optic,No,Yes,No,1,4.3,39.77,1319.68,0.3807,38.1,Low,No
CUST-01525,36,Male,1,Month-to-Month,Electronic Check,No,No Internet,No,No,7,3.0,30.72,59.02,0.7686,76.9,High,Yes
CUST-01526,57,Male,2,Month-to-Month,Electronic Check,DSL,No Internet,Yes,No,3,1.8,59.58,176.51,0.7554,75.5,High,Yes
CUST-01527,68,Male,25,One Year,Bank Transfer,Fiber Optic,Yes,Yes,No Internet,3,2.5,101.49,2492.36,0.4822,48.2,Medium,No
CUST-01528,63,Female,16,Month-to-Month,Credit Card,No,No,No,Yes,2,4.3,18.0,293.43,0.5923,59.2,Medium,No
CUST-01529,35,Male,37,Month-to-Month,Mailed Check,DSL,No Internet,No,No,3,2.1,49.0,1826.35,0.4968,49.7,Medium,No
CUST-01530,26,Female,59,Month-to-Month,Electronic Check,Fiber Optic,No,No,No Internet,2,2.1,89.14,5474.95,0.944,94.4,High,Yes
CUST-01531,43,Male,11,Two Year,Electronic Check,Fiber Optic,No Internet,No,No,3,3.8,90.82,1120.38,0.5971,59.7,Medium,No
CUST-01532,18,Female,21,Two Year,Electronic Check,Fiber Optic,No Internet,Yes,Yes,1,1.8,87.84,1777.26,0.5062,50.6,Medium,No
CUST-01533,46,Female,16,Two Year,Electronic Check,DSL,No,Yes,No,1,3.8,71.39,1116.65,0.2819,28.2,Low,No
CUST-01534,39,Male,72,One Year,Electronic Check,DSL,No,No,No,4,1.0,53.26,3606.61,0.3324,33.2,Low,No
CUST-01535,35,Male,42,Month-to-Month,Credit Card,Fiber Optic,No,No,No,1,3.7,90.85,3865.36,0.723,72.3,High,Yes
CUST-01536,19,Female,58,Month-to-Month,Mailed Check,DSL,No,Yes,Yes,2,3.1,55.08,3023.61,0.46,46.0,Medium,No
CUST-01537,49,Female,7,Two Year,Bank Transfer,Fiber Optic,No,No,Yes,5,5.0,99.56,790.01,0.5118,51.2,Medium,No
CUST-01538,34,Female,35,One Year,Electronic Check,Fiber Optic,No,No,No,2,1.1,76.47,2777.16,0.5497,55.0,Medium,No
CUST-01539,25,Male,7,One Year,Electronic Check,DSL,No Internet,Yes,Yes,1,2.5,58.81,484.02,0.262,26.2,Low,No
CUST-01540,18,Male,5,One Year,Bank Transfer,Fiber Optic,Yes,No,No Internet,3,3.8,97.78,604.34,0.3924,39.2,Low,No
CUST-01541,41,Female,69,Two Year,Credit Card,DSL,No Internet,No,No,3,3.1,57.21,3733.19,0.1459,14.6,Low,No
CUST-01542,66,Female,0,Month-to-Month,Mailed Check,No,No,Yes,No,3,2.7,25.51,24.15,0.6314,63.1,Medium,Yes
CUST-01543,65,Male,72,Month-to-Month,Credit Card,Fiber Optic,No Internet,No,Yes,2,1.3,70.77,4790.37,0.6449,64.5,Medium,Yes
CUST-01544,35,Female,3,One Year,Credit Card,Fiber Optic,Yes,No,No Internet,1,3.7,81.62,327.16,0.24,24.0,Low,No
CUST-01545,33,Male,41,Two Year,Electronic Check,Fiber Optic,Yes,No Internet,Yes,3,5.0,46.13,1943.31,0.4787,47.9,Medium,No
CUST-01546,48,Male,7,One Year,Electronic Check,DSL,No,No,Yes,3,2.4,60.79,437.98,0.4335,43.3,Medium,No
CUST-01547,28,Male,10,Month-to-Month,Bank Transfer,DSL,No,Yes,Yes,2,3.3,43.48,442.28,0.586,58.6,Medium,No
CUST-01548,46,Male,5,Month-to-Month,Mailed Check,DSL,Yes,Yes,Yes,3,3.6,48.38,275.83,0.4532,45.3,Medium,No
CUST-01549,52,Female,21,One Year,Electronic Check,DSL,No Internet,No Internet,No,0,2.8,50.83,1041.19,0.3462,34.6,Low,No
CUST-01550,59,Male,10,One Year,Mailed Check,Fiber Optic,No,No Internet,No,5,3.2,73.25,791.81,0.4817,48.2,Medium,No
CUST-01551,40,Male,25,One Year,Mailed Check,Fiber Optic,No Internet,Yes,No,2,2.1,80.4,1894.03,0.3915,39.2,Low,No
CUST-01552,39,Female,0,Month-to-Month,Credit Card,Fiber Optic,No,Yes,No,3,1.7,92.59,94.81,0.8389,83.9,High,Yes
CUST-01553,29,Female,1,Two Year,Electronic Check,DSL,Yes,No,No,4,4.9,41.26,80.04,0.1681,16.8,Low,No
CUST-01554,30,Female,2,One Year,Electronic Check,Fiber Optic,No,No,No Internet,3,3.1,70.87,210.29,0.6608,66.1,Medium,Yes
CUST-01555,38,Female,13,One Year,Mailed Check,DSL,No Internet,Yes,Yes,1,3.8,55.99,773.65,0.1717,17.2,Low,No
CUST-01556,47,Male,40,Month-to-Month,Bank Transfer,DSL,No,No,Yes,1,3.7,52.3,2074.83,0.5443,54.4,Medium,No
CUST-01557,54,Female,52,Month-to-Month,Bank Transfer,Fiber Optic,Yes,Yes,Yes,3,2.2,73.89,3857.86,0.6656,66.6,Medium,Yes
CUST-01558,30,Female,6,Two Year,Credit Card,DSL,No Internet,Yes,No,2,1.8,57.23,365.12,0.2317,23.2,Low,No
CUST-01559,62,Female,20,Month-to-Month,Credit Card,No,Yes,Yes,No,0,2.5,45.73,919.69,0.3728,37.3,Low,No
CUST-01560,38,Male,35,Month-to-Month,Mailed Check,Fiber Optic,No,No,No,6,3.4,91.99,3333.1,0.809,80.9,High,Yes
CUST-01561,41,Male,8,Month-to-Month,Electronic Check,Fiber Optic,No,No Internet,Yes,1,2.3,104.66,899.49,0.8536,85.4,High,Yes
CUST-01562,31,Female,12,One Year,Mailed Check,DSL,No,No,No,3,2.7,62.28,759.53,0.1733,17.3,Low,No
CUST-01563,18,Male,17,Month-to-Month,Bank Transfer,DSL,Yes,Yes,No,5,1.0,49.93,885.05,0.5093,50.9,Medium,No
CUST-01564,54,Female,3,Month-to-Month,Credit Card,Fiber Optic,No Internet,No Internet,No,3,3.2,103.97,404.02,0.7644,76.4,High,Yes
CUST-01565,52,Female,0,Two Year,Credit Card,No,No Internet,Yes,Yes,5,3.3,20.25,19.85,0.2372,23.7,Low,No
CUST-01566,38,Female,3,One Year,Bank Transfer,DSL,No,No Internet,No,3,3.2,51.52,215.1,0.2002,20.0,Low,No
CUST-01567,42,Female,23,Month-to-Month,Mailed Check,No,Yes,No,No,0,2.1,29.35,649.81,0.4369,43.7,Medium,No
CUST-01568,49,Female,1,Month-to-Month,Electronic Check,Fiber Optic,Yes,Yes,No,2,2.1,82.13,163.02,0.7826,78.3,High,Yes
CUST-01569,20,Male,5,Two Year,Electronic Check,No,Yes,Yes,No Internet,1,2.0,29.64,160.87,0.3558,35.6,Low,No
CUST-01570,34,Female,9,Month-to-Month,Electronic Check,Fiber Optic,No,No Internet,No,2,2.7,79.27,790.38,0.934,93.4,High,Yes
CUST-01571,53,Female,1,One Year,Electronic Check,Fiber Optic,No,No,Yes,3,2.4,89.12,165.69,0.5866,58.7,Medium,No
CUST-01572,24,Male,5,Month-to-Month,Mailed Check,No,Yes,Yes,Yes,1,4.8,23.07,141.33,0.3017,30.2,Low,No
CUST-01573,46,Male,58,Two Year,Electronic Check,Fiber Optic,No,No Internet,No Internet,4,5.0,98.55,5468.21,0.6362,63.6,Medium,Yes
CUST-01574,23,Male,0,One Year,Bank Transfer,No,No,Yes,No Internet,6,4.2,18.0,17.28,0.2811,28.1,Low,No
CUST-01575,48,Female,25,One Year,Mailed Check,DSL,No Internet,Yes,No,2,3.3,46.6,1184.17,0.1579,15.8,Low,No
CUST-01576,41,Male,11,Month-to-Month,Bank Transfer,No,No,No,No,2,2.9,18.0,214.16,0.5302,53.0,Medium,No
CUST-01577,19,Female,26,Two Year,Mailed Check,DSL,No,No,Yes,4,2.3,67.25,1715.65,0.2193,21.9,Low,No
CUST-01578,58,Male,21,Month-to-Month,Electronic Check,DSL,No,Yes,No Internet,4,3.3,53.85,1094.08,0.7376,73.8,High,Yes
CUST-01579,31,Male,6,Two Year,Credit Card,Fiber Optic,No,Yes,Yes,3,3.0,69.73,485.81,0.5153,51.5,Medium,No
CUST-01580,30,Female,45,Month-to-Month,Electronic Check,DSL,No,No,No,2,2.1,55.99,2488.71,0.6915,69.2,Medium,Yes
CUST-01581,44,Male,16,One Year,Credit Card,DSL,No,No,No,3,2.3,49.67,767.25,0.2969,29.7,Low,No
CUST-01582,58,Female,41,Month-to-Month,Electronic Check,DSL,No,No Internet,No,1,1.1,57.57,2370.86,0.7036,70.4,High,Yes
CUST-01583,27,Female,12,One Year,Mailed Check,Fiber Optic,No,No,No,4,2.1,91.34,1151.88,0.4166,41.7,Medium,No
CUST-01584,42,Female,72,Month-to-Month,Electronic Check,Fiber Optic,No Internet,No,No,2,3.6,74.25,5294.78,0.7844,78.4,High,Yes
CUST-01585,48,Male,35,Month-to-Month,Electronic Check,Fiber Optic,No,Yes,No,3,4.3,80.64,2659.37,0.8943,89.4,High,Yes
CUST-01586,51,Female,72,Month-to-Month,Mailed Check,Fiber Optic,No,No Internet,No,2,3.8,57.42,4069.88,0.7607,76.1,High,Yes
CUST-01587,44,Female,17,Month-to-Month,Bank Transfer,DSL,No,Yes,Yes,3,2.6,59.86,1090.18,0.5242,52.4,Medium,No
CUST-01588,36,Female,15,Month-to-Month,Electronic Check,No,Yes,No,No,3,1.4,19.72,290.25,0.7709,77.1,High,Yes
CUST-01589,30,Male,33,Month-to-Month,Mailed Check,Fiber Optic,No,No Internet,No Internet,5,1.9,76.16,2572.71,0.7624,76.2,High,Yes
CUST-01590,43,Female,50,Two Year,Electronic Check,Fiber Optic,No Internet,No Internet,No,4,3.7,81.83,3867.34,0.5137,51.4,Medium,No
CUST-01591,26,Female,72,Month-to-Month,Mailed Check,No,No,No,No,3,3.6,25.21,1741.62,0.441,44.1,Medium,No
CUST-01592,18,Female,9,One Year,Credit Card,Fiber Optic,No,No,No,2,2.5,86.35,824.12,0.4666,46.7,Medium,No
CUST-01593,48,Male,38,Month-to-Month,Credit Card,DSL,No,No Internet,Yes,4,2.8,51.04,2019.44,0.5613,56.1,Medium,No
CUST-01594,54,Male,5,One Year,Mailed Check,DSL,Yes,No Internet,No,1,5.0,57.98,324.89,0.1121,11.2,Low,No
CUST-01595,18,Male,18,Month-to-Month,Electronic Check,DSL,No,No,Yes,1,1.3,59.05,1054.13,0.795,79.5,High,Yes
CUST-01596,27,Male,4,Two Year,Electronic Check,DSL,Yes,No,No,0,3.2,43.49,224.09,0.2969,29.7,Low,No
CUST-01597,50,Male,10,Two Year,Credit Card,DSL,No,Yes,No,3,1.9,54.87,610.52,0.2892,28.9,Low,No
CUST-01598,70,Male,64,Month-to-Month,Electronic Check,Fiber Optic,No,No,Yes,4,1.9,106.72,6769.88,0.7808,78.1,High,Yes
CUST-01599,42,Female,3,One Year,Credit Card,DSL,No,Yes,No,3,3.7,55.71,211.12,0.2173,21.7,Low,No
CUST-01600,31,Male,24,Month-to-Month,Mailed Check,DSL,No,No,No Internet,3,5.0,53.05,1351.13,0.5671,56.7,Medium,No
CUST-01601,39,Female,21,One Year,Credit Card,Fiber Optic,Yes,No,No,3,3.9,74.73,1618.39,0.294,29.4,Low,No
CUST-01602,61,Male,3,Month-to-Month,Mailed Check,Fiber Optic,No,Yes,No Internet,1,4.9,100.6,382.1,0.803,80.3,High,Yes
CUST-01603,32,Male,9,Month-to-Month,Mailed Check,No,No,Yes,No Internet,1,1.1,26.0,246.28,0.6506,65.1,Medium,Yes
CUST-01604,30,Male,19,Month-to-Month,Bank Transfer,DSL,Yes,No,No,6,3.7,74.29,1439.13,0.4678,46.8,Medium,No
CUST-01605,35,Male,4,One Year,Credit Card,Fiber Optic,No,Yes,No Internet,2,4.2,95.74,498.95,0.3878,38.8,Low,No
CUST-01606,28,Female,38,Month-to-Month,Credit Card,No,No,No,No,0,2.9,26.61,1034.15,0.4046,40.5,Medium,No
CUST-01607,43,Female,72,One Year,Bank Transfer,DSL,Yes,No Internet,No,1,4.1,43.89,3210.07,0.1125,11.3,Low,No
CUST-01608,64,Male,5,Month-to-Month,Bank Transfer,No,Yes,No,No Internet,3,5.0,25.4,146.0,0.3671,36.7,Low,No
CUST-01609,46,Male,4,Month-to-Month,Mailed Check,No,Yes,Yes,No,1,3.4,18.0,94.18,0.3584,35.8,Low,No
CUST-01610,38,Male,14,One Year,Bank Transfer,DSL,No,Yes,Yes,0,2.8,49.87,718.92,0.2779,27.8,Low,No
CUST-01611,37,Female,33,Two Year,Credit Card,DSL,Yes,No,Yes,3,4.4,41.44,1270.59,0.0949,9.5,Low,No
CUST-01612,20,Female,7,Two Year,Mailed Check,DSL,Yes,No,No,5,4.4,43.29,353.31,0.2609,26.1,Low,No
CUST-01613,54,Female,0,One Year,Bank Transfer,No,No,No,No,3,2.9,21.48,20.98,0.1492,14.9,Low,No
CUST-01614,40,Female,18,One Year,Mailed Check,DSL,No Internet,Yes,Yes,1,2.6,67.68,1186.31,0.0684,6.8,Low,No
CUST-01615,39,Female,72,One Year,Mailed Check,Fiber Optic,No,Yes,No Internet,2,4.4,75.78,4997.78,0.3633,36.3,Low,No
CUST-01616,80,Male,11,Month-to-Month,Credit Card,Fiber Optic,No Internet,Yes,No,5,2.7,47.41,596.7,0.7746,77.5,High,Yes
CUST-01617,46,Male,13,Month-to-Month,Mailed Check,Fiber Optic,Yes,No,No,1,3.1,50.96,711.37,0.7858,78.6,High,Yes
CUST-01618,31,Female,72,Month-to-Month,Electronic Check,No,Yes,No,Yes,3,3.5,18.0,1274.41,0.5577,55.8,Medium,No
CUST-01619,36,Female,28,Month-to-Month,Mailed Check,No,Yes,No Internet,Yes,1,3.0,18.83,518.81,0.4199,42.0,Medium,No
CUST-01620,58,Female,30,Month-to-Month,Electronic Check,DSL,No Internet,No,Yes,6,3.2,45.86,1294.89,0.7396,74.0,High,Yes
CUST-01621,43,Female,19,Two Year,Mailed Check,DSL,No,No Internet,No,3,2.3,60.81,1212.31,0.2244,22.4,Low,No
CUST-01622,21,Male,72,Month-to-Month,Credit Card,No,No,No Internet,No,2,3.8,31.28,2181.47,0.4975,49.8,Medium,No
CUST-01623,54,Female,28,One Year,Bank Transfer,Fiber Optic,No,No,No,6,2.8,95.0,2888.49,0.3974,39.7,Low,No
CUST-01624,32,Female,54,One Year,Credit Card,Fiber Optic,No,No,Yes,2,4.9,84.16,4241.26,0.3996,40.0,Medium,No
CUST-01625,68,Male,28,Month-to-Month,Electronic Check,DSL,No,No Internet,No Internet,2,3.3,56.41,1532.7,0.8605,86.1,High,Yes
CUST-01626,57,Female,31,Month-to-Month,Credit Card,No,No,Yes,Yes,1,4.3,26.71,820.97,0.4459,44.6,Medium,No
